previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7,0.69375,width,crown,all,0.0,0.0,0.0
0.7,0.69375,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,left_knee,all,3.0666629981300726e-07,0.004127728395483078,3.42962573066289e-05
0.7,0.69375,width,left_knee,previously_plastic,2.714152458897277e-07,0.003653249209675735,3.0127801953915697e-05
0.7,0.69375,width,left_knee,previously_elastic,3.5251053923279534e-08,0.0004744791858073426,4.1684553527132015e-06
0.7,0.69375,width,invert,all,0.0,0.0,0.0
0.7,0.69375,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,right_knee,all,2.9187640921056703e-07,0.003928656467974232,3.235596104818764e-05
0.7,0.69375,width,right_knee,previously_plastic,2.4839378274564863e-07,0.003343380315756431,2.7450292282731888e-05
0.7,0.69375,width,right_knee,previously_elastic,4.348262646491843e-08,0.0005852761522178022,4.905668765455753e-06
0.7,0.69375,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.69375,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,crown,all,0.0,0.0,0.0
0.7,0.69375,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,left_knee,all,2.778005726723042e-07,0.0030696963280289614,3.42962573066289e-05
0.7,0.69375,height,left_knee,previously_plastic,2.4703099993629654e-07,0.0027296925492960766,3.0127801953915697e-05
0.7,0.69375,height,left_knee,previously_elastic,3.0769572736007666e-08,0.0003400037787328847,4.1684553527132015e-06
0.7,0.69375,height,invert,all,0.0,0.0,0.0
0.7,0.69375,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,right_knee,all,2.5717794199831893e-07,0.0028418162590814243,3.235596104818764e-05
0.7,0.69375,height,right_knee,previously_plastic,2.2271962555188833e-07,0.002461051862348366,2.7450292282731888e-05
0.7,0.69375,height,right_knee,previously_elastic,3.445831644643063e-08,0.00038076439673305853,4.905668765455753e-06
0.7,0.69375,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.69375,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,crown,all,0.0,0.0,0.0
0.69375,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,left_knee,all,4.228510028078631e-07,0.005691574497793838,4.884533369584665e-05
0.69375,0.6875,width,left_knee,previously_plastic,3.751029404668962e-07,0.005048885578684423,4.265913127580803e-05
0.69375,0.6875,width,left_knee,previously_elastic,4.7748062340966944e-08,0.0006426889191094151,6.186202420038612e-06
0.69375,0.6875,width,invert,all,0.0,0.0,0.0
0.69375,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,right_knee,all,4.4768791614566173e-07,0.006025879351320608,5.137591342237401e-05
0.69375,0.6875,width,right_knee,previously_plastic,3.9353975062767165e-07,0.005297045043448461,4.4368621195457675e-05
0.69375,0.6875,width,right_knee,previously_elastic,5.4148165517990094e-08,0.0007288343078721466,7.007292226916334e-06
0.69375,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,crown,all,0.0,0.0,0.0
0.69375,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,left_knee,all,4.0400333646393423e-07,0.004464236867926473,4.884533369584665e-05
