previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7,0.69375,width,crown,all,0.0,0.0,0.0
0.7,0.69375,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,left_knee,all,3.1100861781337455e-07,0.004186175995768022,3.49106208191745e-05
0.7,0.69375,width,left_knee,previously_plastic,2.690084026464958e-07,0.0036208530996218336,3.003685530044508e-05
0.7,0.69375,width,left_knee,previously_elastic,4.200021516687874e-08,0.0005653228961461879,4.873765518729418e-06
0.7,0.69375,width,invert,all,0.0,0.0,0.0
0.7,0.69375,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,right_knee,all,2.9651214301361573e-07,0.003991053444963268,3.3048985689975685e-05
0.7,0.69375,width,right_knee,previously_plastic,2.517416909755408e-07,0.0033884431605307797,2.7977161149033513e-05
0.7,0.69375,width,right_knee,previously_elastic,4.477045203807492e-08,0.0006026102844324885,5.071824540942167e-06
0.7,0.69375,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.69375,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,crown,all,0.0,0.0,0.0
0.7,0.69375,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,left_knee,all,2.840429345046334e-07,0.003138674426276199,3.49106208191745e-05
0.7,0.69375,height,left_knee,previously_plastic,2.4716487212922016e-07,0.002731171837027883,3.003685530044508e-05
0.7,0.69375,height,left_knee,previously_elastic,3.687806237541318e-08,0.0004075025892483157,4.873765518729418e-06
0.7,0.69375,height,invert,all,0.0,0.0,0.0
0.7,0.69375,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,right_knee,all,2.630752587531137e-07,0.0029069816092219068,3.3048985689975685e-05
0.7,0.69375,height,right_knee,previously_plastic,2.2735025300289002e-07,0.002512220295681935,2.7977161149033513e-05
0.7,0.69375,height,right_knee,previously_elastic,3.572500575022366e-08,0.00039476131353997153,5.071824540942167e-06
0.7,0.69375,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.69375,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,crown,all,0.0,0.0,0.0
0.69375,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,left_knee,all,4.2235945079893e-07,0.005684958207753598,4.862582068880176e-05
0.69375,0.6875,width,left_knee,previously_plastic,3.9959153773495366e-07,0.005378502097912477,4.574416835901228e-05
0.69375,0.6875,width,left_knee,previously_elastic,2.2767913063976377e-08,0.0003064561098411221,2.8816523297894763e-06
0.69375,0.6875,width,invert,all,0.0,0.0,0.0
0.69375,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,right_knee,all,4.4563297395477446e-07,0.005998219829431265,5.097965026880814e-05
0.69375,0.6875,width,right_knee,previously_plastic,4.2729465591421437e-07,0.005751386068605326,4.866057133305015e-05
0.69375,0.6875,width,right_knee,previously_elastic,1.8338318040560087e-08,0.0002468337608259388,2.319078935757992e-06
0.69375,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,crown,all,0.0,0.0,0.0
0.69375,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,left_knee,all,4.049141780095137e-07,0.004474301667005127,4.862582068880176e-05
0.69375,0.6875,height,left_knee,previously_plastic,3.8394591030410657e-07,0.004242602308860378,4.574416835901228e-05
