previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7125,0.7,width,crown,all,0.0,0.0,0.0
0.7125,0.7,width,crown,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,crown,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,all,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,left_knee,all,4.630202103076033e-07,0.006232252030740341,5.0757439510562224e-05
0.7125,0.7,width,left_knee,previously_plastic,1.97005936534268e-07,0.0026516999057512474,2.0833710393937576e-05
0.7125,0.7,width,left_knee,previously_elastic,2.660142737733353e-07,0.003580552124989093,2.992372911662464e-05
0.7125,0.7,width,invert,all,0.0,0.0,0.0
0.7125,0.7,width,invert,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,invert,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,right_knee,all,4.592469018383143e-07,0.006181463298743711,5.052166347413862e-05
0.7125,0.7,width,right_knee,previously_plastic,1.9864183838339716e-07,0.002673719144640526,2.105371880235463e-05
0.7125,0.7,width,right_knee,previously_elastic,2.606050634549172e-07,0.0035077441541031856,2.946794467178399e-05
0.7125,0.7,width,right_sidewall,all,0.0,0.0,0.0
0.7125,0.7,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,crown,all,0.0,0.0,0.0
0.7125,0.7,height,crown,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,crown,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,all,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,left_knee,all,4.345937146995587e-07,0.004802260547430124,5.0757439510562224e-05
0.7125,0.7,height,left_knee,previously_plastic,1.8570037846922658e-07,0.002051989182084954,2.0833710393937576e-05
0.7125,0.7,height,left_knee,previously_elastic,2.4889333623033206e-07,0.0027502713653451694,2.992372911662464e-05
0.7125,0.7,height,invert,all,0.0,0.0,0.0
0.7125,0.7,height,invert,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,invert,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,right_knee,all,4.3501899408189707e-07,0.0048069598846049635,5.052166347413862e-05
0.7125,0.7,height,right_knee,previously_plastic,1.8854742102636564e-07,0.0020834490023413405,2.105371880235463e-05
0.7125,0.7,height,right_knee,previously_elastic,2.464715730555315e-07,0.002723510882263623,2.946794467178399e-05
0.7125,0.7,height,right_sidewall,all,0.0,0.0,0.0
0.7125,0.7,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,crown,all,0.0,0.0,0.0
0.7,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,left_knee,all,7.452135922581808e-07,0.010030574951795115,8.379901417962716e-05
0.7,0.6875,width,left_knee,previously_plastic,6.353198947381454e-07,0.008551405783175437,7.021192999588524e-05
0.7,0.6875,width,left_knee,previously_elastic,1.0989369752003533e-07,0.0014791691686196757,1.3587084183741923e-05
0.7,0.6875,width,invert,all,0.0,0.0,0.0
0.7,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,right_knee,all,7.482396116024557e-07,0.010071305172169054,8.386201538362703e-05
0.7,0.6875,width,right_knee,previously_plastic,6.402323293939093e-07,0.008617527153642019,7.075857135468235e-05
0.7,0.6875,width,right_knee,previously_elastic,1.0800728220854646e-07,0.0014537780185270353,1.3103444028944696e-05
0.7,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,crown,all,0.0,0.0,0.0
0.7,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,left_knee,all,6.962459427389866e-07,0.007693517667265803,8.379901417962716e-05
0.7,0.6875,height,left_knee,previously_plastic,5.915487798043692e-07,0.00653661401683828,7.021192999588524e-05
0.7,0.6875,height,left_knee,previously_elastic,1.0469716293461751e-07,0.0011569036504275236,1.3587084183741923e-05
0.7,0.6875,height,invert,all,0.0,0.0,0.0
0.7,0.6875,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,right_knee,all,6.966898417785546e-07,0.007698422751653029,8.386201538362703e-05
0.7,0.6875,height,right_knee,previously_plastic,5.972097883072983e-07,0.006599168160795646,7.075857135468235e-05
0.7,0.6875,height,right_knee,previously_elastic,9.948005347125624e-08,0.0010992545908573815,1.3103444028944696e-05
0.7,0.6875,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.6875,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,right_sidewall,previously_elastic,0.0,0.0,0.0
