previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7125,0.7,width,crown,all,0.0,0.0,0.0
0.7125,0.7,width,crown,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,crown,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,all,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,left_knee,all,4.5851152328145413e-07,0.006171565103368373,5.0187713334266e-05
0.7125,0.7,width,left_knee,previously_plastic,1.8824213234253203e-07,0.002533739101330481,1.994667318293772e-05
0.7125,0.7,width,left_knee,previously_elastic,2.7026939093892216e-07,0.0036378260020378927,3.024104015132827e-05
0.7125,0.7,width,invert,all,0.0,0.0,0.0
0.7125,0.7,width,invert,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,invert,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,right_knee,all,4.542432919486977e-07,0.006114114709629471,4.986437754862261e-05
0.7125,0.7,width,right_knee,previously_plastic,1.889423611260995e-07,0.0025431641807572994,2.004325855637747e-05
0.7125,0.7,width,right_knee,previously_elastic,2.653009308225981e-07,0.003570950528872171,2.9821118992245146e-05
0.7125,0.7,width,right_sidewall,all,0.0,0.0,0.0
0.7125,0.7,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,crown,all,0.0,0.0,0.0
0.7125,0.7,height,crown,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,crown,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,all,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,left_knee,all,4.372559069351529e-07,0.00483167777163344,5.0187713334266e-05
0.7125,0.7,height,left_knee,previously_plastic,1.8125304948125406e-07,0.002002846196767857,1.994667318293772e-05
0.7125,0.7,height,left_knee,previously_elastic,2.5600285745389886e-07,0.0028288315748655826,3.024104015132827e-05
0.7125,0.7,height,invert,all,0.0,0.0,0.0
0.7125,0.7,height,invert,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,invert,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,right_knee,all,4.379901198523279e-07,0.004839790824368223,4.986437754862261e-05
0.7125,0.7,height,right_knee,previously_plastic,1.831797254126323e-07,0.002024135965809587,2.004325855637747e-05
0.7125,0.7,height,right_knee,previously_elastic,2.5481039443969553e-07,0.002815654858558636,2.9821118992245146e-05
0.7125,0.7,height,right_sidewall,all,0.0,0.0,0.0
0.7125,0.7,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,crown,all,0.0,0.0,0.0
0.7,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,left_knee,all,7.50125742062744e-07,0.010096692488164534,8.434603993615067e-05
0.7,0.6875,width,left_knee,previously_plastic,6.322784666232372e-07,0.008510468160748772,6.999222214967099e-05
0.7,0.6875,width,left_knee,previously_elastic,1.1784727543950679e-07,0.0015862243274157614,1.4353817786479664e-05
0.7,0.6875,width,invert,all,0.0,0.0,0.0
0.7,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,right_knee,all,7.543922197939598e-07,0.0101541192784267,8.455366786841993e-05
0.7,0.6875,width,right_knee,previously_plastic,6.476234699648832e-07,0.00871701190572733,7.156651929679317e-05
0.7,0.6875,width,right_knee,previously_elastic,1.0676874982907659e-07,0.001437107372699371,1.2987148571626755e-05
0.7,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,crown,all,0.0,0.0,0.0
0.7,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,left_knee,all,7.109404375108812e-07,0.007855891834495237,8.434603993615067e-05
0.7,0.6875,height,left_knee,previously_plastic,6.00097182278387e-07,0.006631073864176177,6.999222214967099e-05
0.7,0.6875,height,left_knee,previously_elastic,1.1084325523249411e-07,0.0012248179703190601,1.4353817786479664e-05
0.7,0.6875,height,invert,all,0.0,0.0,0.0
0.7,0.6875,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,right_knee,all,7.126490136881029e-07,0.007874771601253537,8.455366786841993e-05
0.7,0.6875,height,right_knee,previously_plastic,6.143182672542567e-07,0.0067882168531595375,7.156651929679317e-05
0.7,0.6875,height,right_knee,previously_elastic,9.833074643384629e-08,0.0010865547480940017,1.2987148571626755e-05
0.7,0.6875,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.6875,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,right_sidewall,previously_elastic,0.0,0.0,0.0
