previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7,0.690625,width,crown,all,0.0,0.0,0.0
0.7,0.690625,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.690625,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.690625,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.690625,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.690625,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.690625,width,left_knee,all,5.054910508704526e-07,0.0068039095447162915,5.752976058587636e-05
0.7,0.690625,width,left_knee,previously_plastic,4.415774507056574e-07,0.005943632486498149,4.943684543320216e-05
0.7,0.690625,width,left_knee,previously_elastic,6.391360016479511e-08,0.0008602770582181421,8.092915152674209e-06
0.7,0.690625,width,invert,all,0.0,0.0,0.0
0.7,0.690625,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.690625,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.690625,width,right_knee,all,5.027318243270739e-07,0.006766770355442416,5.7103554150620755e-05
0.7,0.690625,width,right_knee,previously_plastic,4.4003703385679347e-07,0.00592289847571244,4.930947363046693e-05
0.7,0.690625,width,right_knee,previously_elastic,6.269479047028053e-08,0.0008438718797299759,7.794080520153821e-06
0.7,0.690625,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.690625,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.690625,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.690625,height,crown,all,0.0,0.0,0.0
0.7,0.690625,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.690625,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.690625,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.690625,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.690625,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.690625,height,left_knee,all,4.76823436643895e-07,0.0052688989749150395,5.752976058587636e-05
0.7,0.690625,height,left_knee,previously_plastic,4.136940523922841e-07,0.00457131927893474,4.943684543320216e-05
0.7,0.690625,height,left_knee,previously_elastic,6.312938425161084e-08,0.0006975796959802999,8.092915152674209e-06
0.7,0.690625,height,invert,all,0.0,0.0,0.0
0.7,0.690625,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.690625,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.690625,height,right_knee,all,4.7175952628799026e-07,0.005212942765482293,5.7103554150620755e-05
0.7,0.690625,height,right_knee,previously_plastic,4.1204528937063896e-07,0.0045531004475455605,4.930947363046693e-05
0.7,0.690625,height,right_knee,previously_elastic,5.971423691735125e-08,0.0006598423179367314,7.794080520153821e-06
0.7,0.690625,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.690625,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.690625,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,width,crown,all,0.0,0.0,0.0
0.690625,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.690625,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,width,left_knee,all,2.339216418644841e-07,0.003148585299495956,2.6268484865741537e-05
0.690625,0.6875,width,left_knee,previously_plastic,2.301906464993736e-07,0.003098366101881569,2.580065997722901e-05
0.690625,0.6875,width,left_knee,previously_elastic,3.730995365110487e-09,5.0219197614387156e-05,4.6782488851252536e-07
0.690625,0.6875,width,invert,all,0.0,0.0,0.0
0.690625,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,width,right_knee,all,2.2601752854455022e-07,0.0030421959342096464,2.5951764815266135e-05
0.690625,0.6875,width,right_knee,previously_plastic,2.1960241304344384e-07,0.0029558484795647543,2.516196251460727e-05
0.690625,0.6875,width,right_knee,previously_elastic,6.41511550110636e-09,8.63474546448916e-05,7.898023006588609e-07
0.690625,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.690625,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,height,crown,all,0.0,0.0,0.0
0.690625,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.690625,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,height,left_knee,all,2.1291400599564608e-07,0.0023526997662518894,2.6268484865741537e-05
0.690625,0.6875,height,left_knee,previously_plastic,2.0943015313359342e-07,0.0023142031921262072,2.580065997722901e-05
0.690625,0.6875,height,left_knee,previously_elastic,3.483852862052658e-09,3.849657412568187e-05,4.6782488851252536e-07
0.690625,0.6875,height,invert,all,0.0,0.0,0.0
0.690625,0.6875,height,invert,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,height,invert,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,height,right_knee,all,2.1295199994576193e-07,0.0023531195994006696,2.5951764815266135e-05
0.690625,0.6875,height,right_knee,previously_plastic,2.071490707205866e-07,0.0022889972314624825,2.516196251460727e-05
0.690625,0.6875,height,right_knee,previously_elastic,5.802929225175337e-09,6.412236793818748e-05,7.898023006588609e-07
0.690625,0.6875,height,right_sidewall,all,0.0,0.0,0.0
0.690625,0.6875,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,height,right_sidewall,previously_elastic,0.0,0.0,0.0
