previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7,0.690625,width,crown,all,0.0,0.0,0.0
0.7,0.690625,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.690625,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.690625,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.690625,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.690625,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.690625,width,left_knee,all,5.082540289636929e-07,0.006841099229851306,5.784967461283872e-05
0.7,0.690625,width,left_knee,previously_plastic,4.4022343188526993e-07,0.005925407393175734,4.94358735016299e-05
0.7,0.690625,width,left_knee,previously_elastic,6.803059707842293e-08,0.0009156918366755727,8.413801111208823e-06
0.7,0.690625,width,invert,all,0.0,0.0,0.0
0.7,0.690625,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.690625,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.690625,width,right_knee,all,5.062311920755676e-07,0.0068138718453371406,5.751859362920097e-05
0.7,0.690625,width,right_knee,previously_plastic,4.4949568976939965e-07,0.00605021198429612,5.044217193842581e-05
0.7,0.690625,width,right_knee,previously_elastic,5.6735502306167887e-08,0.0007636598610410198,7.076421690775163e-06
0.7,0.690625,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.690625,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.690625,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.690625,height,crown,all,0.0,0.0,0.0
0.7,0.690625,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.690625,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.690625,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.690625,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.690625,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.690625,height,left_knee,all,4.843244352704512e-07,0.0053517850097384865,5.784967461283872e-05
0.7,0.690625,height,left_knee,previously_plastic,4.1799769180864536e-07,0.004618874494485532,4.94358735016299e-05
0.7,0.690625,height,left_knee,previously_elastic,6.632674346180582e-08,0.0007329105152529544,8.413801111208823e-06
0.7,0.690625,height,invert,all,0.0,0.0,0.0
0.7,0.690625,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.690625,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.690625,height,right_knee,all,4.798391556315428e-07,0.005302222669728548,5.751859362920097e-05
0.7,0.690625,height,right_knee,previously_plastic,4.255127775713025e-07,0.004701916192162893,5.044217193842581e-05
0.7,0.690625,height,right_knee,previously_elastic,5.432637806024019e-08,0.0006003064775656541,7.076421690775163e-06
0.7,0.690625,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.690625,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.690625,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,width,crown,all,0.0,0.0,0.0
0.690625,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.690625,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,width,left_knee,all,2.3333237097269649e-07,0.0031406537132924947,2.6173160669426028e-05
0.690625,0.6875,width,left_knee,previously_plastic,2.1610406718184936e-07,0.002908760744267693,2.4224397058275826e-05
0.690625,0.6875,width,left_knee,previously_elastic,1.7228303790847135e-08,0.00023189296902480247,1.948763611150201e-06
0.690625,0.6875,width,invert,all,0.0,0.0,0.0
0.690625,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,width,right_knee,all,2.247000790291828e-07,0.0030244630637328005,2.5760430162706376e-05
0.690625,0.6875,width,right_knee,previously_plastic,2.1223420332352353e-07,0.0028566723767346268,2.4165002312168865e-05
0.690625,0.6875,width,right_knee,previously_elastic,1.2465875705659278e-08,0.0001677906869981739,1.595427850537511e-06
0.690625,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.690625,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,height,crown,all,0.0,0.0,0.0
0.690625,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.690625,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,height,left_knee,all,2.1268840302750876e-07,0.0023502068534539716,2.6173160669426028e-05
0.690625,0.6875,height,left_knee,previously_plastic,1.9964315652439131e-07,0.0022060568795945245,2.4224397058275826e-05
0.690625,0.6875,height,left_knee,previously_elastic,1.3045246503117451e-08,0.00014414997385944783,1.948763611150201e-06
0.690625,0.6875,height,invert,all,0.0,0.0,0.0
0.690625,0.6875,height,invert,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,height,invert,previously_elastic,0.0,0.0,0.0
0.690625,0.6875,height,right_knee,all,2.123321670282717e-07,0.0023462704456624025,2.5760430162706376e-05
0.690625,0.6875,height,right_knee,previously_plastic,2.0093153023186053e-07,0.002220293409062059,2.4165002312168865e-05
0.690625,0.6875,height,right_knee,previously_elastic,1.140063679641117e-08,0.00012597703660034343,1.595427850537511e-06
0.690625,0.6875,height,right_sidewall,all,0.0,0.0,0.0
0.690625,0.6875,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.690625,0.6875,height,right_sidewall,previously_elastic,0.0,0.0,0.0
