previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7125,0.7,width,crown,all,0.0,0.0,0.0
0.7125,0.7,width,crown,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,crown,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,all,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,left_knee,all,1.8002531234363897e-08,0.0002423140704145381,1.9664292961856958e-06
0.7125,0.7,width,left_knee,previously_plastic,1.5088341044497812e-08,0.00020308907045894057,1.6330582080472266e-06
0.7125,0.7,width,left_knee,previously_elastic,2.9141901898660804e-09,3.922499995559744e-05,3.333710881384694e-07
0.7125,0.7,width,invert,all,0.0,0.0,0.0
0.7125,0.7,width,invert,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,invert,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,right_knee,all,2.7857947416811384e-08,0.00037496797223028123,3.012574897347181e-06
0.7125,0.7,width,right_knee,previously_plastic,2.3164116492161392e-08,0.0003117890079844924,2.4872825313636716e-06
0.7125,0.7,width,right_knee,previously_elastic,4.693830924649995e-09,6.317896424578894e-05,5.252923659835092e-07
0.7125,0.7,width,right_sidewall,all,0.0,0.0,0.0
0.7125,0.7,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,crown,all,0.0,0.0,0.0
0.7125,0.7,height,crown,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,crown,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,all,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,left_knee,all,1.7196141098816216e-08,0.0001900173591419192,1.9664292961856958e-06
0.7125,0.7,height,left_knee,previously_plastic,1.4394617427627051e-08,0.00015906052257527893,1.6330582080472266e-06
0.7125,0.7,height,left_knee,previously_elastic,2.8015236711891653e-09,3.0956836566640274e-05,3.333710881384694e-07
0.7125,0.7,height,invert,all,0.0,0.0,0.0
0.7125,0.7,height,invert,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,invert,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,right_knee,all,2.6469102847807125e-08,0.00029248358646826876,3.012574897347181e-06
0.7125,0.7,height,right_knee,previously_plastic,2.1959520291563036e-08,0.00024265269922177157,2.4872825313636716e-06
0.7125,0.7,height,right_knee,previously_elastic,4.509582556244089e-09,4.983088724649719e-05,5.252923659835092e-07
0.7125,0.7,height,right_sidewall,all,0.0,0.0,0.0
0.7125,0.7,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,crown,all,0.0,0.0,0.0
0.7,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,left_knee,all,1.130880403258658e-06,0.015221650227861538,0.00012529279314680148
0.7,0.6875,width,left_knee,previously_plastic,4.474200709584449e-07,0.006022274155100669,4.7166218915245376e-05
0.7,0.6875,width,left_knee,previously_elastic,6.834603323002131e-07,0.00919937607276087,7.812657423155614e-05
0.7,0.6875,width,invert,all,0.0,0.0,0.0
0.7,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,right_knee,all,1.1104984900998063e-06,0.014947309676743395,0.00012285518510873552
0.7,0.6875,width,right_knee,previously_plastic,4.5826496290965857e-07,0.006168246400764004,4.833254136434681e-05
0.7,0.6875,width,right_knee,previously_elastic,6.522335271901477e-07,0.00877906327597939,7.452264374438873e-05
0.7,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,crown,all,0.0,0.0,0.0
0.7,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,left_knee,all,1.0550790687949488e-06,0.011658623710184186,0.00012529279314680148
0.7,0.6875,height,left_knee,previously_plastic,4.2084043822302627e-07,0.00465028684236444,4.7166218915245376e-05
0.7,0.6875,height,left_knee,previously_elastic,6.342386305719225e-07,0.0070083368678197444,7.812657423155614e-05
0.7,0.6875,height,invert,all,0.0,0.0,0.0
0.7,0.6875,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,right_knee,all,1.0372494948746824e-06,0.01146160691836524,0.00012285518510873552
0.7,0.6875,height,right_knee,previously_plastic,4.337244556770845e-07,0.004792655235231784,4.833254136434681e-05
0.7,0.6875,height,right_knee,previously_elastic,6.035250391975979e-07,0.006668951683133457,7.452264374438873e-05
0.7,0.6875,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.6875,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.6875,0.675,width,crown,all,0.0,0.0,0.0
0.6875,0.675,width,crown,previously_plastic,0.0,0.0,0.0
0.6875,0.675,width,crown,previously_elastic,0.0,0.0,0.0
0.6875,0.675,width,left_sidewall,all,0.0,0.0,0.0
0.6875,0.675,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.6875,0.675,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.6875,0.675,width,left_knee,all,6.200470520081195e-07,0.008345833320029288,7.202003146658404e-05
0.6875,0.675,width,left_knee,previously_plastic,5.626733536938224e-07,0.00757358334071885,6.442748209763323e-05
0.6875,0.675,width,left_knee,previously_elastic,5.7373698314297145e-08,0.0007722499793104396,7.592549368950808e-06
0.6875,0.675,width,invert,all,0.0,0.0,0.0
0.6875,0.675,width,invert,previously_plastic,0.0,0.0,0.0
0.6875,0.675,width,invert,previously_elastic,0.0,0.0,0.0
0.6875,0.675,width,right_knee,all,6.647457236525571e-07,0.00894747744036342,7.705552078802222e-05
0.6875,0.675,width,right_knee,previously_plastic,6.072326515976666e-07,0.008173351490504592,6.947341406799742e-05
0.6875,0.675,width,right_knee,previously_elastic,5.7513072054890425e-08,0.0007741259498588251,7.582106720024798e-06
0.6875,0.675,width,right_sidewall,all,0.0,0.0,0.0
0.6875,0.675,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.6875,0.675,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.6875,0.675,height,crown,all,0.0,0.0,0.0
0.6875,0.675,height,crown,previously_plastic,0.0,0.0,0.0
0.6875,0.675,height,crown,previously_elastic,0.0,0.0,0.0
0.6875,0.675,height,left_sidewall,all,0.0,0.0,0.0
0.6875,0.675,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.6875,0.675,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.6875,0.675,height,left_knee,all,5.857238794272273e-07,0.006472248867670862,7.202003146658404e-05
0.6875,0.675,height,left_knee,previously_plastic,5.296894090263118e-07,0.005853067969740746,6.442748209763323e-05
0.6875,0.675,height,left_knee,previously_elastic,5.603447040091546e-08,0.0006191808979301159,7.592549368950808e-06
0.6875,0.675,height,invert,all,0.0,0.0,0.0
0.6875,0.675,height,invert,previously_plastic,0.0,0.0,0.0
0.6875,0.675,height,invert,previously_elastic,0.0,0.0,0.0
0.6875,0.675,height,right_knee,all,6.261103604824914e-07,0.00691851948333153,7.705552078802222e-05
0.6875,0.675,height,right_knee,previously_plastic,5.707547916264782e-07,0.006306840447472584,6.947341406799742e-05
0.6875,0.675,height,right_knee,previously_elastic,5.535556885601317e-08,0.0006116790358589455,7.582106720024798e-06
0.6875,0.675,height,right_sidewall,all,0.0,0.0,0.0
0.6875,0.675,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.6875,0.675,height,right_sidewall,previously_elastic,0.0,0.0,0.0
