previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7125,0.7,width,crown,all,0.0,0.0,0.0
0.7125,0.7,width,crown,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,crown,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,all,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,left_knee,all,1.7435273003435977e-08,0.00023467877462624826,1.9035290762308263e-06
0.7125,0.7,width,left_knee,previously_plastic,1.5021362154160488e-08,0.00020218753459500018,1.6379098198298862e-06
0.7125,0.7,width,left_knee,previously_elastic,2.4139108492754893e-09,3.249124003124809e-05,2.6561925640093984e-07
0.7125,0.7,width,invert,all,0.0,0.0,0.0
0.7125,0.7,width,invert,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,invert,previously_elastic,0.0,0.0,0.0
0.7125,0.7,width,right_knee,all,2.686911865525042e-08,0.00036165833709967066,2.8973760304141153e-06
0.7125,0.7,width,right_knee,previously_plastic,2.234668967900285e-08,0.00030078644307937835,2.408928099191816e-06
0.7125,0.7,width,right_knee,previously_elastic,4.522428976247567e-09,6.087189402029225e-05,4.884479312222997e-07
0.7125,0.7,width,right_sidewall,all,0.0,0.0,0.0
0.7125,0.7,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,crown,all,0.0,0.0,0.0
0.7125,0.7,height,crown,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,crown,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,all,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,left_knee,all,1.674131407141466e-08,0.000184991520489132,1.9035290762308263e-06
0.7125,0.7,height,left_knee,previously_plastic,1.4561167593808322e-08,0.00016090090191158197,1.6379098198298862e-06
0.7125,0.7,height,left_knee,previously_elastic,2.1801464776063384e-09,2.409061857755004e-05,2.6561925640093984e-07
0.7125,0.7,height,invert,all,0.0,0.0,0.0
0.7125,0.7,height,invert,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,invert,previously_elastic,0.0,0.0,0.0
0.7125,0.7,height,right_knee,all,2.554105946353062e-08,0.0002822287070720134,2.8973760304141153e-06
0.7125,0.7,height,right_knee,previously_plastic,2.1521492984290645e-08,0.00023781249747641166,2.408928099191816e-06
0.7125,0.7,height,right_knee,previously_elastic,4.019566479239976e-09,4.4416209595601735e-05,4.884479312222997e-07
0.7125,0.7,height,right_sidewall,all,0.0,0.0,0.0
0.7125,0.7,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7125,0.7,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,crown,all,0.0,0.0,0.0
0.7,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,left_knee,all,1.1342546316752872e-06,0.015267067342349366,0.00012568882245602976
0.7,0.6875,width,left_knee,previously_plastic,4.5450278255007196e-07,0.006117607453123969,4.8149676081034e-05
0.7,0.6875,width,left_knee,previously_elastic,6.79751849125215e-07,0.009149459889225395,7.753914637499575e-05
0.7,0.6875,width,invert,all,0.0,0.0,0.0
0.7,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.6875,width,right_knee,all,1.115136376319404e-06,0.015009735625259178,0.00012335034142718773
0.7,0.6875,width,right_knee,previously_plastic,4.745762058298526e-07,0.006387795730469816,5.0141995303138104e-05
0.7,0.6875,width,right_knee,previously_elastic,6.405601704895516e-07,0.008621939894789364,7.320834612404962e-05
0.7,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,crown,all,0.0,0.0,0.0
0.7,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,left_knee,all,1.072164874175449e-06,0.011847421859638711,0.00012568882245602976
0.7,0.6875,height,left_knee,previously_plastic,4.3075154391459113e-07,0.004759804560256232,4.8149676081034e-05
0.7,0.6875,height,left_knee,previously_elastic,6.414133302608579e-07,0.00708761729938248,7.753914637499575e-05
0.7,0.6875,height,invert,all,0.0,0.0,0.0
0.7,0.6875,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.6875,height,right_knee,all,1.0568753623981739e-06,0.011678472754499823,0.00012335034142718773
0.7,0.6875,height,right_knee,previously_plastic,4.4840326761251325e-07,0.004954856107118272,5.0141995303138104e-05
0.7,0.6875,height,right_knee,previously_elastic,6.084720947856607e-07,0.006723616647381551,7.320834612404962e-05
0.7,0.6875,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.6875,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.6875,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.6875,0.675,width,crown,all,0.0,0.0,0.0
0.6875,0.675,width,crown,previously_plastic,0.0,0.0,0.0
0.6875,0.675,width,crown,previously_elastic,0.0,0.0,0.0
0.6875,0.675,width,left_sidewall,all,0.0,0.0,0.0
0.6875,0.675,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.6875,0.675,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.6875,0.675,width,left_knee,all,6.152808041091296e-07,0.008281679623308884,7.134663492289195e-05
0.6875,0.675,width,left_knee,previously_plastic,5.376298560543221e-07,0.007236497862491175,6.131342577815415e-05
0.6875,0.675,width,left_knee,previously_elastic,7.765094805480751e-08,0.0010451817608177092,1.0033209144737799e-05
0.6875,0.675,width,invert,all,0.0,0.0,0.0
0.6875,0.675,width,invert,previously_plastic,0.0,0.0,0.0
0.6875,0.675,width,invert,previously_elastic,0.0,0.0,0.0
0.6875,0.675,width,right_knee,all,6.578097354616401e-07,0.008854119039313676,7.614224283283643e-05
0.6875,0.675,width,right_knee,previously_plastic,5.658368385080124e-07,0.007616163846317848,6.39263156933684e-05
0.6875,0.675,width,right_knee,previously_elastic,9.197289695362773e-08,0.0012379551929958294,1.221592713946802e-05
0.6875,0.675,width,right_sidewall,all,0.0,0.0,0.0
0.6875,0.675,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.6875,0.675,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.6875,0.675,height,crown,all,0.0,0.0,0.0
0.6875,0.675,height,crown,previously_plastic,0.0,0.0,0.0
0.6875,0.675,height,crown,previously_elastic,0.0,0.0,0.0
0.6875,0.675,height,left_sidewall,all,0.0,0.0,0.0
0.6875,0.675,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.6875,0.675,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.6875,0.675,height,left_knee,all,5.830283488372718e-07,0.006442463254651854,7.134663492289195e-05
0.6875,0.675,height,left_knee,previously_plastic,5.108293932315269e-07,0.005644664795208373,6.131342577815415e-05
0.6875,0.675,height,left_knee,previously_elastic,7.2198955605745e-08,0.0007977984594434823,1.0033209144737799e-05
0.6875,0.675,height,invert,all,0.0,0.0,0.0
0.6875,0.675,height,invert,previously_plastic,0.0,0.0,0.0
0.6875,0.675,height,invert,previously_elastic,0.0,0.0,0.0
0.6875,0.675,height,right_knee,all,6.218351768161523e-07,0.006871278703818483,7.614224283283643e-05
0.6875,0.675,height,right_knee,previously_plastic,5.336273725372936e-07,0.005896582466537095,6.39263156933684e-05
0.6875,0.675,height,right_knee,previously_elastic,8.820780427885865e-08,0.0009746962372813882,1.221592713946802e-05
0.6875,0.675,height,right_sidewall,all,0.0,0.0,0.0
0.6875,0.675,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.6875,0.675,height,right_sidewall,previously_elastic,0.0,0.0,0.0
