previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7,0.69375,width,crown,all,0.0,0.0,0.0
0.7,0.69375,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,left_knee,all,2.6193522741317038e-08,0.00035256481609812737,2.888267308890789e-06
0.7,0.69375,width,left_knee,previously_plastic,2.3347907678633187e-08,0.00031426283735440277,2.5595778283247953e-06
0.7,0.69375,width,left_knee,previously_elastic,2.845615062683847e-09,3.830197874372458e-05,3.2868948056599396e-07
0.7,0.69375,width,invert,all,0.0,0.0,0.0
0.7,0.69375,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,right_knee,all,2.9041314452978856e-08,0.00039089609253709545,3.2209750079938257e-06
0.7,0.69375,width,right_knee,previously_plastic,2.5633484922591976e-08,0.00034502670705808804,2.8320557527507236e-06
0.7,0.69375,width,right_knee,previously_elastic,3.4078295303868752e-09,4.586938547900734e-05,3.889192552431026e-07
0.7,0.69375,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.69375,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,crown,all,0.0,0.0,0.0
0.7,0.69375,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,left_knee,all,2.4333900248282356e-08,0.00026888959774352007,2.888267308890789e-06
0.7,0.69375,height,left_knee,previously_plastic,2.1662698517025003e-08,0.0002393728186131263,2.5595778283247953e-06
0.7,0.69375,height,left_knee,previously_elastic,2.671201731257354e-09,2.951677913039376e-05,3.2868948056599396e-07
0.7,0.69375,height,invert,all,0.0,0.0,0.0
0.7,0.69375,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,right_knee,all,2.714678500122175e-08,0.0002999719742635004,3.2209750079938257e-06
0.7,0.69375,height,right_knee,previously_plastic,2.4024162595881116e-08,0.0002654669966844863,2.8320557527507236e-06
0.7,0.69375,height,right_knee,previously_elastic,3.12262240534064e-09,3.450497757901408e-05,3.889192552431026e-07
0.7,0.69375,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.69375,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,crown,all,0.0,0.0,0.0
0.69375,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,left_knee,all,9.511888127455069e-08,0.0012803001419554524,1.0576190882402392e-05
0.69375,0.6875,width,left_knee,previously_plastic,6.935618947343355e-08,0.0009335343103124157,7.618263663763744e-06
0.69375,0.6875,width,left_knee,previously_elastic,2.5762691801117152e-08,0.0003467658316430369,2.9579272186386484e-06
0.69375,0.6875,width,invert,all,0.0,0.0,0.0
0.69375,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,right_knee,all,1.236307159877783e-07,0.0016640694371954962,1.3828438978236916e-05
0.69375,0.6875,width,right_knee,previously_plastic,9.730336231023706e-08,0.0013097032566957909,1.0775443646989213e-05
0.69375,0.6875,width,right_knee,previously_elastic,2.6327353677541236e-08,0.00035436618049970503,3.0529953312477037e-06
0.69375,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,crown,all,0.0,0.0,0.0
0.69375,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,left_knee,all,8.888695709449027e-08,0.0009822008758941176,1.0576190882402392e-05
