previous_pressure_ratio,pressure_ratio,chord,region,activity,plastic_closure,plastic_mm,delta_kappa_integral
0.7,0.69375,width,crown,all,0.0,0.0,0.0
0.7,0.69375,width,crown,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,crown,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,all,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,left_knee,all,2.6089385205473335e-08,0.0003511631248656711,2.8795027466260303e-06
0.7,0.69375,width,left_knee,previously_plastic,2.4020884982196288e-08,0.000323321111860362,2.6613603774561435e-06
0.7,0.69375,width,left_knee,previously_elastic,2.06850022327705e-09,2.784201300530909e-05,2.1814236916988703e-07
0.7,0.69375,width,invert,all,0.0,0.0,0.0
0.7,0.69375,width,invert,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,invert,previously_elastic,0.0,0.0,0.0
0.7,0.69375,width,right_knee,all,2.9366657643639942e-08,0.00039527521188339364,3.2599285888081387e-06
0.7,0.69375,width,right_knee,previously_plastic,2.6931710529123614e-08,0.0003625008237220039,2.9898155634714776e-06
0.7,0.69375,width,right_knee,previously_elastic,2.434947114516328e-09,3.277438816138978e-05,2.701130253366613e-07
0.7,0.69375,width,right_sidewall,all,0.0,0.0,0.0
0.7,0.69375,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,crown,all,0.0,0.0,0.0
0.7,0.69375,height,crown,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,crown,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,all,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,left_knee,all,2.4225954004862105e-08,0.00026769679175372627,2.8795027466260303e-06
0.7,0.69375,height,left_knee,previously_plastic,2.2458542377899755e-08,0.00024816689327579233,2.6613603774561435e-06
0.7,0.69375,height,left_knee,previously_elastic,1.7674116269623527e-09,1.9529898477934e-05,2.1814236916988703e-07
0.7,0.69375,height,invert,all,0.0,0.0,0.0
0.7,0.69375,height,invert,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,invert,previously_elastic,0.0,0.0,0.0
0.7,0.69375,height,right_knee,all,2.7398642455788195e-08,0.00030275499913645957,3.2599285888081387e-06
0.7,0.69375,height,right_knee,previously_plastic,2.5259382204221898e-08,0.000279116173356652,2.9898155634714776e-06
0.7,0.69375,height,right_knee,previously_elastic,2.1392602515662934e-09,2.3638825779807544e-05,2.701130253366613e-07
0.7,0.69375,height,right_sidewall,all,0.0,0.0,0.0
0.7,0.69375,height,right_sidewall,previously_plastic,0.0,0.0,0.0
0.7,0.69375,height,right_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,crown,all,0.0,0.0,0.0
0.69375,0.6875,width,crown,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,crown,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,left_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,left_knee,all,9.757558734397329e-08,0.0013133674056498806,1.0897751302994153e-05
0.69375,0.6875,width,left_knee,previously_plastic,7.23811419552863e-08,0.0009742501707181538,7.945385802450079e-06
0.69375,0.6875,width,left_knee,previously_elastic,2.519444538868699e-08,0.0003391172349317269,2.9523655005440722e-06
0.69375,0.6875,width,invert,all,0.0,0.0,0.0
0.69375,0.6875,width,invert,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,invert,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,width,right_knee,all,1.275457542078022e-07,0.0017167658516370175,1.4373136485488853e-05
0.69375,0.6875,width,right_knee,previously_plastic,8.550623882076782e-08,0.001150913974527535,9.39909944887997e-06
0.69375,0.6875,width,right_knee,previously_elastic,4.203951538703438e-08,0.0005658518771094828,4.974037036608881e-06
0.69375,0.6875,width,right_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,width,right_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,width,right_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,crown,all,0.0,0.0,0.0
0.69375,0.6875,height,crown,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,height,crown,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,all,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,previously_plastic,0.0,0.0,0.0
0.69375,0.6875,height,left_sidewall,previously_elastic,0.0,0.0,0.0
0.69375,0.6875,height,left_knee,all,9.104507022951698e-08,0.0010060480260361626,1.0897751302994153e-05
