population,relation,condition,E,k,allowance,pressure_ratio,reference_pressure_ratio,pressure_overhead,width_margin_mm,height_margin_mm
Development,A,fit_32_015,32,0.15,0.015,0.73077038201837,0.7108300341466824,0.019940347871687525,94.34312726624077,11.418549040574957
Development,A,fit_32_015,32,0.15,0.02,0.6427801380178312,0.6150780852782067,0.02770205273962445,126.70577021224996,16.110718120827865
Development,A,fit_32_015,32,0.15,0.025,0.5562299605957216,0.5251683574926193,0.031061603103102353,158.0472619876658,19.81450593296892
Development,A,fit_32_025,32,0.25,0.015,0.725,0.710759943644757,0.014240056355242947,92.08158491428917,8.13028817597419
Development,A,fit_32_025,32,0.25,0.02,0.6350862953266712,0.6142386852860436,0.020847610040627518,124.02346253656142,11.977542419185452
Development,A,fit_32_025,32,0.25,0.025,0.5466126572317715,0.5192784934777375,0.02733416375403408,156.12881776588137,16.144851661976475
Development,A,fit_48_015,48,0.15,0.015,0.6052013759855523,0.5750492181876223,0.030152157797930013,94.89411609181998,12.269375732591993
Development,A,fit_48_015,48,0.15,0.02,0.4781259645472251,0.4528534445795145,0.025272519967710627,121.219330041786,12.287523302303178
Development,A,fit_48_015,48,0.15,0.025,0.35387620364056893,0.3538762036405689,5.551115123125783e-17,129.93965307323393,0.09880321255592885
Development,A,fit_48_025,48,0.25,0.015,0.5994309939671824,0.5728669264284649,0.02656406753871743,93.75451025262292,10.404516307592289
Development,A,fit_48_025,48,0.25,0.02,0.4704321218560651,0.44003337036317913,0.030398751492885956,124.36579688831263,13.48901354995153
Development,A,fit_48_025,48,0.25,0.025,0.344258900276619,0.3278804643050128,0.01637843597160621,143.77207098672548,8.751833967477436
Development,A,fit_40_020,40,0.2,0.015,0.6651006879927761,0.6416958436716808,0.023404844321095353,94.05663438366128,10.866261764516542
Development,A,fit_40_020,40,0.2,0.02,0.5566061299369481,0.5256111897551754,0.030994940181772734,126.0922130241669,15.267217064782017
Development,A,fit_40_020,40,0.2,0.025,0.45024443043617024,0.4231741372275366,0.027070293208633633,152.77697474936443,15.420842591658506
Development,A,select_32_020,32,0.2,0.015,0.727885191009185,0.7107731750086429,0.01711201600054213,93.21718394699761,9.778114878519181
Development,A,select_32_020,32,0.2,0.02,0.6389332166722512,0.614543177414513,0.024390039257738194,125.3969242995103,14.0725520894519
Development,A,select_32_020,32,0.2,0.025,0.5514213089137467,0.5215090580412414,0.029912250872505375,157.49645649228995,18.33451232904552
Development,A,select_40_015,40,0.15,0.015,0.6679858790019613,0.6420155701219925,0.025970308879968762,94.86731195266262,12.114547114567669
Development,A,select_40_015,40,0.15,0.02,0.5604530512825281,0.5292450877592907,0.031207963523237403,126.30878107235915,16.06394000807016
Development,A,select_40_015,40,0.15,0.025,0.4550530821181452,0.43131732578690657,0.023735756331238644,149.776166705114,14.211189264249183
Development,A,select_40_025,40,0.25,0.015,0.6622154969835912,0.6415073768924537,0.020708120091137427,93.201763826666,9.582826612348633
Development,A,select_40_025,40,0.25,0.02,0.5527592085913682,0.5235071865078503,0.029252022083517848,125.2450402475185,13.890883196878805
Development,A,select_40_025,40,0.25,0.025,0.44543577875419527,0.41657146029057646,0.02886431846361881,154.4738374520151,15.75646222491649
Development,A,select_48_020,48,0.2,0.015,0.6023161849763674,0.5734882568482856,0.02882792812808177,94.35910337460878,11.385740009703378
Development,A,select_48_020,48,0.2,0.02,0.47427904320164505,0.44569747446326374,0.028581568738381302,123.30582223270267,13.247430095583258
Development,A,select_48_020,48,0.2,0.025,0.34906755195859396,0.33958678418935057,0.009480767769243392,137.93452966578317,5.652815275945325
Development,B,fit_32_015,32,0.15,0.015,0.7297375090208265,0.7108300341466824,0.018907474874144015,93.93525583687227,10.82770396381275
Development,B,fit_32_015,32,0.15,0.02,0.6418378944281804,0.6150780852782067,0.026759809149973668,126.32865530590334,15.565795567165983
Development,B,fit_32_015,32,0.15,0.025,0.5555958066175005,0.5251683574926193,0.030427449124881267,157.76199498795467,19.41789219809154
Development,B,fit_32_025,32,0.25,0.015,0.725,0.710759943644757,0.014240056355242947,92.08158491428917,8.13028817597419
Development,B,fit_32_025,32,0.25,0.02,0.6355212157337451,0.6142386852860436,0.021282530447701453,124.19508226565858,12.226983174166525
Development,B,fit_32_025,32,0.25,0.025,0.5476999582494564,0.5192784934777375,0.02842146477171892,156.56536443356043,16.778509506464427
Development,B,fit_48_015,48,0.15,0.015,0.6042228050696362,0.5750492181876223,0.02917358688201388,94.62189349533944,11.878311093556766
Development,B,fit_48_015,48,0.15,0.02,0.4774735839366143,0.4528534445795145,0.024620139357099835,120.96985771059987,11.976245791595575
Development,B,fit_48_015,48,0.15,0.025,0.35387620364056915,0.3538762036405689,2.7755575615628914e-16,129.93965307323393,0.09880321255592885
Development,B,fit_48_025,48,0.25,0.015,0.5971165415383966,0.5728669264284649,0.02424961510993162,93.12653855941402,9.50050118975861
Development,B,fit_48_025,48,0.25,0.02,0.46799856589496136,0.44003337036317913,0.027965195531782228,123.5919833823246,12.435081569419038
Development,B,fit_48_025,48,0.25,0.025,0.3420324310885029,0.3278804643050128,0.014151966783490122,142.7574693007215,7.585683558777597
Development,B,fit_40_020,40,0.2,0.015,0.6640192139072147,0.6416958436716808,0.02232337023553399,93.70977068687164,10.36510898563615
Development,B,fit_40_020,40,0.2,0.02,0.5557078149983753,0.5256111897551754,0.030096625243199893,125.78978881640587,14.833226352554172
Development,B,fit_40_020,40,0.2,0.025,0.4498010998990073,0.4231741372275366,0.02662696267147069,152.58181612697274,15.172716484037407
Development,B,select_32_020,32,0.2,0.015,0.7273687545104133,0.7107731750086429,0.016595579501770374,93.0138774284951,9.483142294067058
Development,B,select_32_020,32,0.2,0.02,0.6386795550809627,0.614543177414513,0.024136377666449715,125.2961763873689,13.926556014972551
Development,B,select_32_020,32,0.2,0.025,0.5516478824334785,0.5215090580412414,0.03013882439223714,157.59097828265942,18.470583551052272
Development,B,select_40_015,40,0.15,0.015,0.6669801570452314,0.6420155701219925,0.024964586923238885,94.54257784495627,11.646758565714997
Development,B,select_40_015,40,0.15,0.02,0.5596557391823974,0.5292450877592907,0.030410651423106727,126.01962090165841,15.662440764106153
Development,B,select_40_015,40,0.15,0.025,0.4547360051290349,0.43131732578690657,0.023418679342128323,149.62269019776187,14.025102884772162
Development,B,select_40_025,40,0.25,0.015,0.6610582707691982,0.6415073768924537,0.01955089387674447,92.83255263509831,9.048028967733245
Development,B,select_40_025,40,0.25,0.02,0.5517598908143532,0.5235071865078503,0.02825270430650284,124.91875872431554,13.420513886394135
Development,B,select_40_025,40,0.25,0.025,0.4448661946689796,0.41657146029057646,0.02829473437840313,154.24631323982274,15.453450991539423
Development,B,select_48_020,48,0.2,0.015,0.6006696733040164,0.5734882568482856,0.0271814164557308,93.90805105680082,10.738595981385568
Development,B,select_48_020,48,0.2,0.02,0.47273607491578784,0.44569747446326374,0.027038600452524097,122.77479333580784,12.55080436453276
Development,B,select_48_020,48,0.2,0.025,0.3479543173645361,0.33958678418935057,0.008367533175185515,137.3653448884473,5.01841890847878
Development,C,fit_32_015,32,0.15,0.015,0.7299832352766735,0.7108300341466824,0.019153201129991082,94.03229015093514,10.968270508649184
Development,C,fit_32_015,32,0.15,0.02,0.641715895208308,0.6150780852782067,0.02663780993010123,126.27981320448036,15.4952247236578
Development,C,fit_32_015,32,0.15,0.025,0.5552956250022938,0.5251683574926193,0.030127267509674538,157.62672923910907,19.22996124012906
Development,C,fit_32_025,32,0.25,0.015,0.7250000000000001,0.710759943644757,0.014240056355243058,92.08158491431159,8.130288175955787
Development,C,fit_32_025,32,0.25,0.02,0.6350715815060766,0.6142386852860436,0.020832896220032926,124.0176563229633,11.969103408302454
Development,C,fit_32_025,32,0.25,0.025,0.5469902328745047,0.5192784934777375,0.027711739396767188,156.28042151931098,16.36492558537045
Development,C,fit_48_015,48,0.15,0.015,0.6032639078037607,0.5750492181876223,0.028214689616138378,94.35472969436664,11.49459526674468
Development,C,fit_48_015,48,0.15,0.02,0.47617960212702004,0.4528534445795145,0.023326157547505555,120.47336427039085,11.357808487764094
Development,C,fit_48_015,48,0.15,0.025,0.3538762036405698,0.3538762036405689,9.43689570931383e-16,129.93965307323393,0.09880321255592885
Development,C,fit_48_025,48,0.25,0.015,0.5982806725270873,0.5728669264284649,0.025413746098622347,93.4424755647456,9.955278778345102
Development,C,fit_48_025,48,0.25,0.02,0.46953528842478864,0.44003337036317913,0.02950191806160951,124.08129286534104,13.10113571847037
Development,C,fit_48_025,48,0.25,0.025,0.3455708115127807,0.3278804643050128,0.01769034720776791,144.36553884998781,9.436695351221733
Development,C,fit_40_020,40,0.2,0.015,0.6639669255521838,0.6416958436716808,0.022271081880503085,93.69299943752745,10.340877807000165
Development,C,fit_40_020,40,0.2,0.02,0.5552344135061564,0.5256111897551754,0.02962322375098103,125.63030618335486,14.604334508192144
Development,C,fit_40_020,40,0.2,0.025,0.449669198120053,0.4231741372275366,0.02649506089251641,152.52371719670697,15.098866990092441
Development,C,select_32_020,32,0.2,0.015,0.7274916176383368,0.7107731750086429,0.016718442629693908,93.06224539453468,9.553318495255027
Development,C,select_32_020,32,0.2,0.02,0.6383937383571923,0.614543177414513,0.023850560942679233,125.1826556069047,13.762049811511055
Development,C,select_32_020,32,0.2,0.025,0.5511429289383991,0.5215090580412414,0.029633870897157744,157.38026706543118,18.167253718983893
Development,C,select_40_015,40,0.15,0.015,0.6664585431905206,0.6420155701219925,0.02444297306852805,94.37412615020378,11.40411417268739
Development,C,select_40_015,40,0.15,0.02,0.5585565703572721,0.5292450877592907,0.029311482597981442,125.62009974429941,15.108328142005949
Development,C,select_40_015,40,0.15,0.025,0.4538218941839477,0.43131732578690657,0.022504568397041125,149.17909429217815,13.488091776444172
Development,C,select_40_025,40,0.25,0.015,0.6614753079138471,0.6415073768924537,0.01996793102139338,92.96560683744175,9.240758647230884
Development,C,select_40_025,40,0.25,0.02,0.5519122566550407,0.5235071865078503,0.028405070147190403,124.96851183188133,13.492238810324919
Development,C,select_40_025,40,0.25,0.025,0.44551650205615856,0.41657146029057646,0.028945041765582102,154.5060650293674,15.79938854685926
Development,C,select_48_020,48,0.2,0.015,0.600772290165424,0.5734882568482856,0.027284033317138356,93.93616885443738,10.778935461511608
Development,C,select_48_020,48,0.2,0.02,0.47285744527590434,0.44569747446326374,0.0271599708126406,122.81665284756208,12.605663667863844
Development,C,select_48_020,48,0.2,0.025,0.34972350757667525,0.33958678418935057,0.010136723387324686,138.2684268485365,6.025442863716865
