condition,split,E,k,pressure_ratio,Cw,Ch
fit_32_015,fit,32,0.15,1.0,0.0,0.0
fit_32_015,fit,32,0.15,0.98,0.0006014136530064773,0.001040998838762075
fit_32_015,fit,32,0.15,0.965,0.0010516417900915398,0.0018213619408642412
fit_32_015,fit,32,0.15,0.95,0.00150115748219537,0.002601396898657793
fit_32_015,fit,32,0.15,0.925,0.0022487690030773555,0.003900732649615324
fit_32_015,fit,32,0.15,0.9,0.0029944067095045712,0.0051991751700602995
fit_32_015,fit,32,0.15,0.875,0.003738073823505661,0.006496735913049889
fit_32_015,fit,32,0.15,0.85,0.004479773545972399,0.007793426354234856
fit_32_015,fit,32,0.15,0.825,0.005219509056680338,0.009089257992180189
fit_32_015,fit,32,0.15,0.8,0.005957283514480882,0.010384242348884687
fit_32_015,fit,32,0.15,0.775,0.006693100057475698,0.011678390970322972
fit_32_015,fit,32,0.15,0.75,0.007426968591622951,0.012971721617844989
fit_32_015,fit,32,0.15,0.725,0.008160154334340919,0.014265400846851017
fit_32_015,fit,32,0.15,0.7,0.008894824565704673,0.015561450464671722
fit_32_015,fit,32,0.15,0.675,0.00963183360276032,0.016860761941812408
fit_32_015,fit,32,0.15,0.65,0.010372109891202963,0.018164557323150476
fit_32_015,fit,32,0.15,0.625,0.011116516155224354,0.01947470227628234
fit_32_015,fit,32,0.15,0.6,0.011866883718905874,0.020798281793056095
fit_32_015,fit,32,0.15,0.575,0.012645539008469986,0.022158198644279925
fit_32_015,fit,32,0.15,0.55,0.01346782939950053,0.023560957470587285
fit_32_015,fit,32,0.15,0.525,0.01434029267755832,0.02500975664787186
fit_32_025,fit,32,0.25,1.0,0.0,0.0
fit_32_025,fit,32,0.25,0.98,0.0006014136530064773,0.001040998838762075
fit_32_025,fit,32,0.25,0.965,0.0010516417900915398,0.0018213619408642412
fit_32_025,fit,32,0.25,0.95,0.00150115748219537,0.002601396898657793
fit_32_025,fit,32,0.25,0.925,0.0022487690030773555,0.003900732649615324
fit_32_025,fit,32,0.25,0.9,0.0029944067095045712,0.0051991751700602995
fit_32_025,fit,32,0.25,0.875,0.003738073823505661,0.006496735913049889
fit_32_025,fit,32,0.25,0.85,0.004479773545972399,0.007793426354234856
fit_32_025,fit,32,0.25,0.825,0.005219509056680338,0.009089257992180189
fit_32_025,fit,32,0.25,0.8,0.005957283514480882,0.010384242348884687
fit_32_025,fit,32,0.25,0.775,0.006693100057475698,0.011678390970322972
fit_32_025,fit,32,0.25,0.75,0.007426961803207788,0.012971715426982833
fit_32_025,fit,32,0.25,0.725,0.008158871848864102,0.014264227314391476
fit_32_025,fit,32,0.25,0.7,0.008888854912742716,0.015555957956555733
fit_32_025,fit,32,0.25,0.675,0.009618284744120631,0.016848171086359942
fit_32_025,fit,32,0.25,0.65,0.01034899875219597,0.018142577576663155
fit_32_025,fit,32,0.25,0.625,0.011081702177230812,0.019439890573980323
fit_32_025,fit,32,0.25,0.6,0.011817259750196207,0.020741101069416512
fit_32_025,fit,32,0.25,0.575,0.012556184345898891,0.02204717075064211
fit_32_025,fit,32,0.25,0.55,0.013299525644715038,0.02336035714457274
fit_32_025,fit,32,0.25,0.525,0.014049048301941536,0.024687782717223827
fit_32_025,fit,32,0.25,0.5,0.01482689396396697,0.026052009436014267
fit_48_015,fit,48,0.15,1.0,0.0,0.0
fit_48_015,fit,48,0.15,0.98,0.0004056777097256603,0.0007034413463781197
fit_48_015,fit,48,0.15,0.965,0.0007095558164830207,0.00123084812121399
fit_48_015,fit,48,0.15,0.95,0.0010131082984075057,0.0017581064006039204
fit_48_015,fit,48,0.15,0.925,0.0015183060753758415,0.002636542286624244
