population,relation,condition,E,k,allowance,pressure_ratio,reference_pressure_ratio,pressure_overhead,width_margin_mm,height_margin_mm
Interior holdout,A,blind_id_36_0175,36,0.175,0.015,0.697935535005573,0.676221262819234,0.021714272186339034,94.20030376300511,11.125655718802351
Interior holdout,B,blind_id_36_0175,36,0.175,0.015,0.6970264086209215,0.676221262819234,0.020805145801687464,93.87874244875624,10.660359005603791
Interior holdout,C,blind_id_36_0175,36,0.175,0.015,0.6969338233270046,0.676221262819234,0.020712560507770594,93.84599034956618,10.612969441369373
Interior holdout,A,blind_id_36_0175,36,0.175,0.02,0.5996931339773895,0.5699070909996927,0.029786042977696825,126.44910470878109,15.754729557725986
Interior holdout,B,blind_id_36_0175,36,0.175,0.02,0.5989702509224789,0.5699070909996927,0.029063159922786186,126.18847457116999,15.378285752555952
Interior holdout,C,blind_id_36_0175,36,0.175,0.02,0.5983773597796342,0.5699070909996927,0.02847026877994152,125.97460044969677,15.069454267123598
Interior holdout,A,blind_id_36_0175,36,0.175,0.025,0.5032371955159459,0.47330945150584675,0.029927744010099178,155.87873124700354,17.921356907964288
Interior holdout,B,blind_id_36_0175,36,0.175,0.025,0.5029451985197553,0.47330945150584675,0.02963574701390853,155.7501610282754,17.750069596974257
Interior holdout,C,blind_id_36_0175,36,0.175,0.025,0.5022914065268024,0.47330945150584675,0.02898195502095563,155.46176256953103,17.36628545188393
Interior holdout,A,blind_id_36_0225,36,0.225,0.015,0.695050343996388,0.676107045638544,0.01894329835784403,93.22096072515606,9.680027956519377
Interior holdout,B,blind_id_36_0225,36,0.225,0.015,0.6943615597967066,0.676107045638544,0.018254514158162594,92.97845306126135,9.328326059530895
Interior holdout,C,blind_id_36_0225,36,0.225,0.015,0.6944422056886679,0.676107045638544,0.018335160050123922,93.00684622857453,9.369504683206303
Interior holdout,A,blind_id_36_0225,36,0.225,0.02,0.5958462126318096,0.5688212448989912,0.027024967732818372,125.3669405699685,14.023991979794209
Interior holdout,B,blind_id_36_0225,36,0.225,0.02,0.5954171191568591,0.5688212448989912,0.026595874257867913,125.2135902093457,13.802337637433004
Interior holdout,C,blind_id_36_0225,36,0.225,0.02,0.5950552029285185,0.5688212448989912,0.026233958029527327,125.084239999988,13.615374853581967
Interior holdout,A,blind_id_36_0225,36,0.225,0.025,0.49842854383397095,0.4681574383484286,0.03027110548554235,156.4658427103578,17.390649844633288
Interior holdout,B,blind_id_36_0225,36,0.225,0.025,0.4985037838127304,0.4681574383484286,0.030346345464301816,156.49620532882162,17.43285459032061
Interior holdout,C,blind_id_36_0225,36,0.225,0.025,0.4981387104629078,0.4681574383484286,0.029981272114479207,156.34885884743196,17.228046161715714
Interior holdout,A,blind_id_44_0175,44,0.175,0.015,0.6351510319891643,0.6076862599640133,0.027464772025151074,94.60985292717298,11.735260307198732
Interior holdout,B,blind_id_44_0175,44,0.175,0.015,0.6339729623315247,0.6076862599640133,0.026286702367511405,94.26101648567779,11.233746701818879
Interior holdout,C,blind_id_44_0175,44,0.175,0.015,0.633574159590548,0.6076862599640133,0.025887899626534705,94.14290230219447,11.063943793776339
Interior holdout,A,blind_id_44_0175,44,0.175,0.02,0.5173660472420867,0.48706605338335535,0.030299993858731333,124.98165186407724,14.758143935064664
Interior holdout,B,blind_id_44_0175,44,0.175,0.02,0.5163933032582937,0.48706605338335535,0.029327249874938344,124.63990405731457,14.296375457977454
Interior holdout,C,blind_id_44_0175,44,0.175,0.02,0.5156092132389902,0.48706605338335535,0.02854315985563488,124.36375501659673,13.923719777009035
Interior holdout,A,blind_id_44_0175,44,0.175,0.025,0.40206031703836953,0.38451848730598165,0.01754182973238788,144.4453640126517,10.322553080637151
Interior holdout,B,blind_id_44_0175,44,0.175,0.025,0.4015919065082868,0.38451848730598165,0.01707341920230515,144.2108847569208,10.057142596667404
Interior holdout,C,blind_id_44_0175,44,0.175,0.025,0.4015816958459403,0.38451848730598165,0.01706320853995863,144.20576677571455,10.051355524970711
Interior holdout,A,blind_id_44_0225,44,0.225,0.015,0.6322658409799793,0.6072398927419163,0.025025948238063034,93.90876330703536,10.628675962600777
Interior holdout,B,blind_id_44_0225,44,0.225,0.015,0.6307159248797065,0.6072398927419163,0.02347603213779026,93.45333425089669,9.971891150869425
Interior holdout,C,blind_id_44_0225,44,0.225,0.015,0.6310825419522113,0.6072398927419163,0.023842649210294997,93.56106649474526,10.12725445012598
Interior holdout,A,blind_id_44_0225,44,0.225,0.02,0.5135191258965066,0.4823858237682654,0.031133302128241225,125.41254099045166,14.504338618162064
Interior holdout,B,blind_id_44_0225,44,0.225,0.02,0.5120505866558694,0.4823858237682654,0.029664762887604057,124.93524204051893,13.835462644554111
Interior holdout,C,blind_id_44_0225,44,0.225,0.02,0.5122870563878745,0.4823858237682654,0.02990123261960914,125.01222263053299,13.943253924187053
Interior holdout,A,blind_id_44_0225,44,0.225,0.025,0.39725166535639456,0.3746972928349812,0.022554372521413346,148.7656007107234,12.363573110113666
Interior holdout,B,blind_id_44_0225,44,0.225,0.025,0.39616351075525646,0.3746972928349812,0.021466217920275255,148.2864933064734,11.779504264001005
Interior holdout,C,blind_id_44_0225,44,0.225,0.025,0.3974289997820457,0.3746972928349812,0.0227317069470645,148.84351500028944,12.458666532928456
